Tiempo (s),intensidad
554,1.3909249581996256e-8
555,1.4386223397828412e-8
556,1.3442291222391275e-8
557,1.2982089533451719e-8
558,1.3617067805020616e-8
559,1.3187828780522278e-8
560,1.4068377068364661e-8
561,1.3455142449599546e-8
562,1.3648606094696434e-8
563,1.398741627591835e-8
564,1.3045460075147057e-8
565,1.2193685795073465e-8
566,1.3927257329853528e-8
567,1.3857312150008274e-8
568,1.2753241978002921e-8
569,1.0835763060668603e-8
570,1.3449526655891326e-8
571,1.388046450888625e-8
572,1.3461585068349388e-8
573,1.3050720838760836e-8
574,1.4775544696560403e-8
575,1.7106690576804274e-8
576,1.5731386454802712e-8
577,1.4842600560218961e-8
578,1.6125864267781196e-8
579,1.4930126932074895e-8
580,1.4880207933169752e-8
581,1.3434236825739914e-8
582,1.6303592055957766e-8
583,1.6478823418001854e-8
584,1.5046361782163346e-8
585,1.5270526113257367e-8
586,1.5524005931296197e-8
587,1.6627915161720352e-8
588,1.1512058821875193e-8
589,9.968263280566305e-9
590,1.0431938065844093e-8
591,1.0877197144400789e-8
592,1.623873520136336e-8
593,1.2903454655915944e-8
594,1.6054378583488358e-8
595,1.3548287376137999e-8
596,1.54241201636291e-8
597,1.4977964606592513e-8
598,6.245029583165467e-8
599,2.0103542852828772e-8
600,1.429831958982208e-8
601,1.2997984058894436e-8
602,1.7231004664597107e-8
603,1.6686951358367265e-8
604,1.7211098892383812e-8
605,1.8576487514133508e-8
606,1.4462054705391155e-8
607,1.94498743480597e-8
608,1.8951317168052773e-8
609,1.8344716308266344e-8
610,1.5994166031178046e-8
611,1.7978191411754818e-8
612,1.9477983786926767e-8
613,1.7038536933611383e-8
614,1.8592637416389393e-8
615,2.0102256028732343e-8
616,1.7952213312590166e-8
617,1.7163663838320925e-8
618,2.0011193894646567e-8
619,1.88490037136173e-8
620,1.8068371024924864e-8
621,1.6653844298525633e-8
622,1.6383711805869612e-7
623,3.2006677948849904e-8
624,9.944004221421326e-8
625,1.789962778053589e-8
626,1.728235811138581e-8
627,1.6906558049002165e-8
628,2.0257152613497675e-8
629,2.0767671233751158e-8
630,1.611225772278417e-8
631,1.6455117963001265e-8
632,1.5828144266018735e-8
633,1.7239572811135737e-8
634,1.592162900259674e-8
635,2.0359940289879823e-8
636,1.893998366040776e-8
637,1.726627286745513e-8
638,1.6621664038984778e-8
639,1.956787205244869e-8
