accuracy,bearing,leq_100,leq_1000,leq_10000,leq_125,leq_1250,leq_12500,leq_160,leq_1600,leq_16000,leq_200,leq_2000,leq_250,leq_2500,leq_315,leq_3150,leq_400,leq_4000,leq_500,leq_5000,leq_630,leq_6300,leq_800,leq_8000,leq_id,leq_mean,leq_utc,location_utc,marker-color,speed,geometry_wkt
9.5,0.0,29.76487159729004,22.519847869873047,22.61839485168457,28.493934631347656,22.18640899658203,21.804576873779297,27.059349060058594,23.320903778076172,23.377220153808594,25.762537002563477,22.311933517456055,26.010066986083984,23.58332633972168,24.310516357421875,24.378952026367188,23.868316650390625,24.13467788696289,23.50975227355957,23.061717987060547,22.194990158081055,38.841529846191406,22.653493881225586,35.13018035888672,12266,40.47303,1763021806776,1763021807000,#B8D6D1,0.0,POINT Z (-75.52997798658907 10.417341822758317 4)
10.0,0.0,30.147640228271484,21.645055770874023,22.150836944580078,31.319263458251953,21.482393264770508,21.664209365844727,25.587905883789062,23.386754989624023,23.364198684692383,23.837778091430664,21.923988342285156,26.452842712402344,23.23396110534668,23.539691925048828,23.948162078857422,23.282821655273438,23.483640670776367,24.347841262817383,22.909236907958984,24.193115234375,38.984127044677734,22.675064086914062,34.99870300292969,12271,40.524933,1763021811778,1763021812000,#B8D6D1,0.0,POINT Z (-75.52997798658907 10.417341822758317 4)
11.0,308.3,29.621623992919922,22.49712371826172,22.293001174926758,28.243623733520508,22.46222496032715,21.69318962097168,26.376935958862305,23.871368408203125,23.317659378051758,24.5355281829834,22.88795280456543,25.666881561279297,23.989456176757812,22.88408088684082,24.96649742126465,23.236644744873047,24.17578887939453,25.505640029907227,22.925195693969727,23.704513549804688,38.3652229309082,23.753610610961914,34.27290344238281,12276,40.216248,1763021816781,1763021817000,#B8D6D1,0.14,POINT Z (-75.53001679480076 10.417343666777015 3)
11.0,262.1,26.836746215820312,22.05521011352539,22.54785919189453,31.384811401367188,21.636903762817383,21.76865577697754,26.37328338623047,23.188371658325195,23.323808670043945,26.46816635131836,22.148771286010742,27.023303985595703,22.89060401916504,24.632001876831055,24.30745506286621,25.141401290893555,23.476346969604492,22.975448608398438,22.73468589782715,22.226991653442383,38.517520904541016,22.237281799316406,34.853275299072266,12281,40.19039,1763021821781,1763021822000,#B8D6D1,0.97999996,POINT Z (-75.53001578897238 10.417318772524595 2)
10.5,244.9,27.850799560546875,23.022157669067383,21.99758529663086,29.201831817626953,22.154071807861328,21.721759796142578,25.94076156616211,23.235509872436523,23.368497848510742,26.27216911315918,22.144149780273438,26.916627883911133,22.957550048828125,24.96050453186035,23.879697799682617,23.998422622680664,23.938444137573242,24.450735092163086,22.570287704467773,23.96809196472168,37.53307342529297,22.491275787353516,34.77170181274414,12286,39.757095,1763021826777,1763021827000,#A0BABF,0.26,POINT Z (-75.53000153973699 10.417297524400055 0)
10.0,250.9,28.624155044555664,23.07328224182129,22.11233901977539,32.895408630371094,22.553464889526367,21.799972534179688,25.89866828918457,23.09188461303711,23.445276260375977,25.555044174194336,23.12306022644043,27.095748901367188,23.517791748046875,24.658096313476562,23.925851821899414,25.133745193481445,23.663009643554688,24.733318328857422,23.064756393432617,23.664791107177734,38.51959991455078,23.4035701751709,34.82338333129883,12291,40.323914,1763021831745,1763021831000,#B8D6D1,0.5,POINT Z (-75.52999349310994 10.417288513854146 0)
10.0,0.0,26.339689254760742,21.85683250427246,24.194313049316406,33.70427322387695,21.054180145263672,22.31775665283203,26.969148635864258,22.83428955078125,23.632465362548828,25.710411071777344,22.276782989501953,27.267133712768555,23.210309982299805,24.846654891967773,24.4632511138916,25.308406829833984,24.140607833862305,23.442455291748047,23.719345092773438,23.44095230102539,38.22313690185547,22.51566505432129,36.02077865600586,12296,40.40484,1763021836763,1763021837000,#B8D6D1,0.0,POINT Z (-75.53000573068857 10.417314707301557 0)
10.0,0.0,26.928695678710938,22.94512176513672,22.023509979248047,32.1365966796875,21.920488357543945,21.63066864013672,28.001861572265625,23.019634246826172,23.331321716308594,24.794673919677734,22.31985092163086,26.868589401245117,23.26691246032715,24.43337059020996,24.05120849609375,25.06375503540039,23.586185455322266,25.732276916503906,22.54519271850586,23.386472702026367,37.5334358215332,22.87084197998047,34.258506774902344,12301,39.651173,1763021841749,1763021841000,#A0BABF,0.0,POINT Z (-75.52998527884483 10.417298572137952 -2)
11.5,51.6,28.43217658996582,22.996822357177734,22.84147834777832,31.316484451293945,22.922094345092773,21.79355239868164,27.536113739013672,23.42707633972168,23.471458435058594,27.324758529663086,22.57859992980957,27.611818313598633,23.32253646850586,24.712142944335938,24.53509521484375,26.079580307006836,24.166118621826172,24.96154022216797,23.04871368408203,23.58872413635254,37.750335693359375,23.7042236328125,34.85378646850586,12306,40.014973,1763021846756,1763021846000,#B8D6D1,1.16,POINT Z (-75.52994605153799 10.417307708412409 -3)
10.0,94.5,27.984516143798828,22.77306365966797,22.78261947631836,32.548072814941406,21.776384353637695,21.685413360595703,27.30081558227539,22.851999282836914,23.309648513793945,26.706558227539062,22.564687728881836,28.591581344604492,23.1939754486084,24.497905731201172,24.236053466796875,24.203100204467773,23.895551681518555,24.218732833862305,22.838598251342773,24.56700897216797,37.49301528930664,22.451622009277344,34.5858039855957,12311,39.718307,1763021851777,1763021852000,#A0BABF,0.22,POINT Z (-75.52993968129158 10.417310013435781 -3)
