Tiempo (s),intensidad
452,2.081668641517608e-8
453,2.3267193412252793e-8
454,2.356497590319659e-8
455,2.1831898320949734e-8
456,2.1632877947400654e-8
457,2.0207165573438906e-8
458,1.9239567278708326e-8
459,2.0536314185756777e-8
460,2.0736683539696823e-8
461,2.1393901897505415e-8
462,1.9758091849214017e-8
463,2.030684247946331e-8
464,1.8735271888117624e-8
465,1.9383919609798587e-8
466,1.9149855445326705e-8
467,1.9443005543640144e-8
468,2.0390505852866994e-8
469,1.8517237635710544e-8
470,2.0228687252593564e-8
471,1.9370239923186855e-8
472,2.1219492851617272e-8
473,2.1696186230730522e-8
474,1.9868711329878465e-8
475,2.1187401669700897e-8
476,2.2225421192167666e-8
477,2.3427432756375174e-8
478,2.395692095848928e-8
479,2.3657235872825984e-8
480,2.415711128596952e-8
481,2.155904902004201e-8
482,2.2769484588032542e-8
483,2.173723997857241e-8
484,2.0732372345462288e-8
485,1.9542571069083604e-8
486,2.2245158269163886e-8
487,2.2904720680982334e-8
488,2.1062164481687847e-8
489,2.088221197667889e-8
490,2.0908587758927763e-8
491,2.317963537210732e-8
492,2.3372038874666915e-8
493,2.285324102469317e-8
494,2.3782658511355652e-8
495,2.215266602003646e-8
496,2.1761107781786423e-8
497,2.1574562617676862e-8
498,2.1254407361454562e-8
499,2.0014636178193392e-8
500,2.2757607348936984e-8
501,2.0228668621292647e-8
502,2.3476497270263204e-8
503,5.238809422944982e-8
504,4.56866484925807e-8
505,2.204529932839154e-8
506,4.305818307882048e-8
507,5.469575228586893e-8
508,2.076251694967693e-8
509,2.1178929271486038e-8
510,2.1840722454298347e-8
511,1.9590972725578085e-8
512,2.2779888813624006e-8
513,2.1386070787665893e-8
514,2.1493572170676007e-8
515,2.10809170800137e-8
516,2.1143578865491676e-8
517,2.192155714650018e-8
518,2.3839838005708623e-8
519,2.302383689588872e-8
520,2.157724535683743e-8
521,2.741374697617914e-8
522,1.964086452235211e-8
523,2.2865910538074092e-8
524,2.0542230592861183e-8
525,1.904354515357781e-8
526,1.8905244568329258e-8
527,1.908578380366898e-8
528,2.212566334197724e-8
529,2.0821916474203556e-8
530,1.9041067824576552e-8
531,1.9995837559040908e-8
532,2.1143340310878878e-8
533,2.1362083091664555e-8
534,1.959215464013081e-8
535,2.1144119274671267e-8
536,1.9318326418770044e-8
537,2.025850532937233e-8
538,1.947071052142763e-8
539,2.0085562558383953e-8
540,1.867204992879099e-8
541,1.998849058715176e-8
542,2.036734406588542e-8
543,2.121455859691733e-8
544,1.9354769340368592e-8
545,1.8296962584984197e-8
546,1.865476145775031e-8
547,1.9061935689256624e-8
548,1.8848174764437855e-8
549,1.6743536761525962e-8
550,1.8255217009224864e-8
551,1.8429374697372816e-8
552,1.6786242778517077e-8
553,1.5459163841271345e-8
554,1.4784590498449392e-8
555,1.571820685919058e-8
556,1.6070363488842104e-8
557,1.553611760177071e-8
558,1.6775968423152687e-8
559,1.745770698906737e-8
560,1.9250011797282203e-8
561,1.7730255744895212e-8
562,1.727319198231138e-8
563,1.6923909722461755e-8
564,1.8134788712373405e-8
565,2.0512391647702164e-8
566,1.9441452115337165e-8
567,1.8583777624141982e-8
568,1.708549241639697e-8
569,1.828841212988821e-8
570,1.8257529036102376e-8
571,1.8875710157805514e-8
572,1.5208696733393058e-8
573,1.714082417156086e-8
574,1.6566203807109432e-8
575,1.7170885806811242e-8
576,1.7695139876618185e-8
577,1.671848038527495e-8
578,1.8757804275952348e-8
579,1.826110274452001e-8
580,1.835090132626072e-8
581,1.5514164784004728e-8
582,1.4223124120517688e-8
583,1.5665793588218185e-8
584,1.476852083409915e-8
585,1.5224358427269845e-8
586,1.2959791065370548e-8
587,1.2411306478642962e-8
588,1.2904791733791549e-8
589,1.3694967312311264e-8
590,1.747581344695171e-8
591,1.6197851011878664e-8
592,1.6091554482232863e-8
593,1.673621321418771e-8
594,1.576180680554248e-8
595,1.73368942450335e-8
596,1.698716870793753e-8
597,1.8622758012395053e-8
598,1.7651202608341854e-8
599,1.7543005518804413e-8
600,1.6536972340255006e-8
601,1.7770129796964993e-8
602,1.9029220565345287e-8
603,1.8119991933274404e-8
604,1.8485917052599844e-8
605,1.8755990323165002e-8
606,1.9382321809803617e-8
607,1.972509029755071e-8
608,1.8790286415932786e-8
609,1.7307621936226523e-8
610,1.815774864791246e-8
611,1.7391606477230838e-8
612,1.8000671234813896e-8
613,1.6537593019814365e-8
614,1.4573860225785412e-8
615,1.6742079505738872e-8
616,1.467748009237627e-8
617,1.8871959679694447e-8
618,1.8583777624141982e-8
619,1.7161747186714285e-8
620,2.265410974161265e-8
621,1.747845336064365e-8
622,1.7860927186875407e-8
623,1.482215668904619e-8
624,1.476700425436731e-8
625,1.4321041392664618e-8
626,1.5756098965896578e-8
627,1.5278210874599248e-8
628,1.6953891520644632e-8
629,1.7422629449658456e-8
630,1.759346575484385e-8
631,1.901930311770814e-8
632,1.7329219390964345e-8
633,1.8006653186096565e-8
634,1.7469963596048325e-8
635,1.6532989883447476e-8
636,1.677196702981099e-8
637,1.7370735202366682e-8
638,1.6518705099687674e-8
639,1.70992278738301e-8
640,1.6849704931498603e-8
641,1.5189402831745485e-8
642,1.6626031538690282e-8
643,1.5232679342206623e-8
644,1.697546970940546e-8
645,1.8709492185276513e-8
646,1.85628219907655e-8
647,1.6731003882842834e-8
648,1.6469343966678684e-8
649,1.606497300073125e-8
650,1.6939110457483162e-8
651,1.5535176794235282e-8
652,1.4519076716665597e-8
653,1.8311305149064083e-8
654,1.9060443428885636e-8
655,1.8744678672443836e-8
656,1.9258834451712322e-8
657,1.8917032065499897e-8
658,2.1521770701561747e-8
659,1.8455584324509866e-8
660,1.9095621596567035e-8
661,1.7668809974793534e-8
662,1.985997054303936e-8
663,1.855515984638399e-8
664,1.742147812730835e-8
665,1.7517494911043302e-8
666,1.6062502194137787e-8
667,1.6635685447462015e-8
668,1.6720389882209132e-8
669,1.6088568354154726e-8
670,1.7706857817312128e-8
671,1.90000524573271e-8
672,1.856249287660864e-8
673,1.807167468147665e-8
674,1.766448580135963e-8
675,1.9598191636349733e-8
676,1.8745196614211634e-8
677,1.665583462122821e-8
678,1.9582967357610346e-8
679,1.7513768305198835e-8
680,2.0622518411110158e-8
681,1.7900802458437593e-8
682,1.573461061933449e-8
683,1.620251752992742e-8
684,1.6922842012606042e-8
685,1.739528706222278e-8
686,1.499204924185963e-8
687,1.4727522672854964e-8
688,1.5696661761241006e-8
689,1.576817386610289e-8
